ID;Severity;Area;Title;Description and impact;Steps to reproduce;Actual result;Expected result;How to fix;Location in the code;Covering cases
DEF-11;Major;Frontend · field validation;A name with diacritics is rejected by a French-language form;"The regular expression allows only unaccented Latin letters plus space, comma, full stop, apostrophe and hyphen. The form is entirely in French, yet François, Amélie and Noëlle cannot register. For the target audience this is a plain denial of service. The server accepts the same values, so the two layers disagree.";"1. Open the form.
2. Type François into the Votre prenom field.
3. Type Amélie.
4. Send François directly to POST /users/create.";The form answers “Please enter a valid first name” for both names. The API accepts the same name with 201 and stores it.;Names with diacritics are accepted by both layers.;"Switch to Unicode properties: /^[\p{L}\p{M} ,.'-]+$/u, and mirror the same rule in the server DTO.";frontend/src/shared/regex.ts:8;TC-FV-007 TC-FV-008 TC-FV-046 TC-E2E-007
DEF-12;Major;Frontend · field validation;"The phone field accepts digits only, with no separators";"Both the international +33 6 12 34 56 78 and the national 06 12 34 56 78 contain a plus sign and spaces, so both are rejected. These are the two ways a French user writes a phone number by default. The user is left to guess that the separators must be deleted.";"1. Open the form.
2. Type +33612345678 into the Numéro de téléphone field.
3. Type 06 12 34 56 78.";Both values are rejected. The error text reads “Ce champ est requis” even though the field is filled in — see DEF-39.;The value is normalised before validation: separators and a country code are accepted.;"Strip everything but digits and a leading plus before validating, or use libphonenumber.";frontend/src/shared/regex.ts:6;TC-FV-034 TC-FV-035
DEF-13;Major;Frontend · field validation;The maximum name length depends on the user agent string;"The rule branches on whether the user agent contains the substring Chrome: the limit is 28 characters in Chrome and 40 everywhere else. The error text says 28 in both cases. Identical data behaves differently for different users, and a bug report cannot be reproduced without knowing the browser.";"1. Open the form in Chrome and type a 30-letter Latin name.
2. Open the same form in a browser whose user agent does not contain Chrome, for example Firefox.
3. Type the same 30 characters.";Chrome rejects the value with “First Name must be less than 28 characters”. Firefox accepts the very same value.;The limit is identical in every browser and matches the message text.;"Remove the user-agent branch, move the limit into a constant, and mirror the check on the server.";frontend/src/components/screens/auth/AuthFields.tsx:37;TC-FV-006 TC-FV-022
DEF-14;Major;Frontend · layout;A hard minimum width on the last-name field breaks the mobile layout;The field carries an inline min-width of 400px. On a 375-pixel screen the field is wider than the viewport and spills past the left edge of the card onto the background. The form looks broken on the most common class of device.;"1. Open the form.
2. Set the window width to 375 pixels or enable mobile device emulation.
3. Inspect the Votre nom field.";The field measures 400 pixels while its neighbours measure 275. Its left edge sits off-screen and its right edge at 325 pixels.;Every field in the form shares a width and fits inside the card.;Remove the inline minWidth style.;frontend/src/components/screens/auth/AuthFields.tsx:66;TC-UI-001
DEF-15;Major;API · contract and validation;The server does not limit the length of the first or last name;"Server-side validation covers consent, phone, password and email. For the first and last name there is neither a length check nor a character-set check. Together with DEF-27 a string of arbitrary size reaches the database, bounded only by the request body limit.";"1. Send POST /users/create where first_name consists of 10,000 A characters.
2. Read the stored row from the table.";"The response is 201 and the value is stored in full, all 10,000 characters.";400 stating the permitted length.;Add @Length to the DTO and constrain the column length in the schema.;backend/src/user/user.service.ts:26-70;TC-FV-013 TC-API-019
DEF-16;Major;API · contract and validation;The server does not limit the phone number length;"The server rule only checks that the string consists of digits. There is no minimum and no maximum, so a one-digit number is stored. The client-side bounds of 8 and 16 live in the form alone and are bypassed by a direct API call or by defect DEF-07.";"1. Send POST /users/create with phone_number set to 7.
2. Read the stored row.";"The response is 201 and the database holds the phone number 7, one character long.";400: the number is shorter than the minimum permitted length.;Move the length bounds into the server DTO and keep them in step with the form.;backend/src/config/regex.config.ts:3;TC-FV-036 TC-API-022
DEF-17;Major;API · contract and validation;The server sets no upper bound on password length;"The server expression ends with an unbounded quantifier, so password length is limited only by the request body size. The client, meanwhile, caps the password at 28 characters. Beyond the mismatch between layers, this loads whatever hashing algorithm is adopted later.";"1. Send POST /users/create with a 1000-character password that satisfies the server rule.
2. Check the response code.";The response is 201 and the password is stored in full.;400: the password exceeds the permitted 28 characters.;Add an upper bound to the server rule and keep it equal to the client's.;backend/src/config/regex.config.ts:2;TC-FV-051 TC-API-021
DEF-18;Major;API · contract and validation;Unknown fields in the request body are accepted and echoed back;"There is no global ValidationPipe and the DTOs are plain classes without decorators, so the body is never filtered. Any extra field passes through the service and into the response. That same absence of filtering is what makes DEF-02 possible.";"1. Send POST /users/create with ""role"": ""admin"" added to the body.
2. Read the response body.";"The response is 201 and its body contains {""role"":""admin"", ...}.";"The field is dropped, or the request is rejected with 400.";"app.useGlobalPipes(new ValidationPipe({whitelist: true, forbidNonWhitelisted: true})) plus class-validator decorators on every DTO field.";"backend/src/main.ts:6
backend/src/user/dto/user.dto.ts";TC-API-012
DEF-19;Major;API · contract and validation;Consent is accepted for any truthy value;"The check tests the field for truthiness rather than for equality with true. The string ""false"" is truthy in JavaScript, so it counts as consent. The field is legally meaningful — it records acceptance of the terms of use — and it is effectively unchecked.";"1. Send POST /users/create with ""is_agree"": ""false"".
2. Repeat the request with ""is_agree"": 1.
3. Repeat it with ""is_agree"": ""no"".";All three requests answer 201 and create a user.;400 for any value other than the boolean true.;An @IsBoolean decorator in the DTO and a strict comparison against true.;backend/src/user/user.service.ts:27;TC-API-007 TC-API-008
DEF-20;Major;API · contract and validation;Value types in the request body are not validated;"The DTO fields are declared as strings but carry no validation decorators, so anything at all lands in them. A number and an array reach the data layer and are coerced to text on write, leaving values such as {""a"",""b""} in the database.";"1. Send POST /users/create with ""first_name"": 12345.
2. Repeat it with ""first_name"": [""a"",""b""].
3. Read the stored rows.";"Both requests answer 201. The database holds the strings 12345 and {""a"",""b""}.";400: the field must be a string.;@IsString and @IsNotEmpty on the string fields of the DTO.;backend/src/user/dto/user.dto.ts;TC-API-009 TC-API-010 TC-API-011
DEF-21;Major;Infrastructure and build;The database volume is mounted at a path Postgres never uses;"The dbdata volume is mounted at /var/lib/mysql while Postgres keeps its data in /var/lib/postgresql/data. The real data lives in the container's writable layer and is destroyed by docker compose down. Every registered user disappears without warning, and the volume itself stays permanently empty.";"1. Register a user and confirm the row appears in the table.
2. Run docker compose down.
3. Run docker compose up -d.
4. Read the users table.";The table is empty. Inside the container /var/lib/postgresql/data occupies 40 MB while the mounted /var/lib/mysql holds no files at all.;Registered users survive a restart of the stack.;Mount the volume at /var/lib/postgresql/data.;docker-compose.yml:39;TC-DB-006 TC-E2E-006
DEF-22;Major;API · security;Registration is not rate-limited;"The endpoint is open, there is no rate limiter, and there is no address confirmation or captcha either. The table can be filled with an arbitrary number of records in seconds, and once outbound email exists the service becomes a tool for mailing strangers.";"1. Send sixty POST /users/create requests in a row with different addresses.
2. Inspect the response codes and the elapsed time.";"Sixty 201 responses in 0.94 seconds, with no rejections.";After a handful of consecutive requests the service answers 429 Too Many Requests.;Add @nestjs/throttler to the endpoint and a captcha to the form.;backend/src/user/user.controller.ts:10;TC-SEC-004 TC-NFR-001
DEF-23;Major;API · contract and validation;The root controller is not registered with the application module;"AppController and AppService exist and return the string “Service is working!”, but neither appears in the module's controller list. The GET / route is never registered, so there is no liveness check, and the project's own e2e test targets precisely that route.";"1. Start the backend.
2. Send a GET request to the service root.";The response is 404 Not Found.;"200 with the body “Service is working!”, as declared in the code and in test/app.e2e-spec.ts.";Add AppController to controllers and AppService to providers in the module.;"backend/src/app.module.ts:8
backend/src/app.controller.ts:8";TC-API-017
DEF-24;Major;Infrastructure and build;The bundled e2e test cannot run because of an unresolvable import;"The service imports a module at the path src/config/regex.config, which resolves through baseUrl during a Nest build but is not configured in the Jest e2e config. The suite fails at module resolution, no test executes, and the command exits with an error.";"1. Install the backend dependencies.
2. Run yarn test:e2e.";"Cannot find module 'src/config/regex.config' from 'user/user.service.ts'. Test Suites: 1 failed, Tests: 0 total.";The test runs and reports the result of its assertion.;"Add moduleNameMapper or modulePaths to test/jest-e2e.json, or change the import to a relative path.";"backend/test/jest-e2e.json
backend/src/user/user.service.ts:3";TC-INF-003
DEF-25;Major;Infrastructure and build;The unit test command fails because there are no tests;"The project contains no spec files at all, and Jest is configured to treat an empty match set as an error. The test step of any pipeline will be permanently red, and the exit code cannot distinguish “no tests” from “tests failed”.";"1. Install the backend dependencies.
2. Run yarn test.";"testRegex: .*\.spec\.ts$ — 0 matches, and the command exits with code 1.";"Tests exist and pass, or the step is explicitly marked as skipped.";"Add unit tests for at least UserService.validateData, where all the business logic sits.";backend/package.json:17;TC-INF-002
DEF-26;Major;Accessibility and localisation;None of the form fields has an accessible name;"Field captions are drawn as separate blocks beside the inputs and are not associated with them in any way. The page contains no label element, no id and no aria-label. The component consumes the placeholder prop to render the caption, so the inputs carry no placeholder attribute either. A screen reader user hears seven unnamed text fields in a row.";"1. Open the form.
2. Run document.querySelectorAll('label').length in the console.
3. Check the inputs for id, aria-label and placeholder attributes.
4. Walk through the form with a screen reader enabled.";"There are 0 label elements, 0 inputs with an id, 0 with aria-label and 0 with a placeholder attribute. The screen reader announces the fields without names.";Every field has an accessible name matching its visible caption.;"Wrap the caption in a label with a for attribute and give the inputs ids, or pass aria-label.";frontend/src/components/ui/field/Field.tsx:17-21;TC-AX-001
DEF-27;Major;Data and database;The text columns are declared without a length limit;"All five text columns are typed character varying with no length, so they accept a string of any size. Together with DEF-15 this means a record is bounded only by the HTTP body limit, and a single registration can occupy tens of kilobytes.";"1. Start the database.
2. Run \d users in psql.
3. Inspect the character_maximum_length column in information_schema.columns.";"Five character varying columns, every one of them with character_maximum_length set to NULL.";Each text column carries a sensible maximum length.;Set length in the @Column decorators and apply the change through a migration.;backend/src/user/entity/user.entity.ts:8-20;TC-DB-002
DEF-28;Major;Infrastructure and build;Lock files are excluded from the repository;"yarn.lock is listed in .gitignore, so the dependency tree is recomputed on every install. The build stops being reproducible: two developers and the pipeline end up with different versions, and over time the project breaks on its own. That is exactly what happened — see DEF-06.";"1. Open .gitignore in the repository root.
2. Find the yarn.lock entry.
3. Install dependencies twice with a gap between and compare the resolved versions.";yarn.lock is listed in .gitignore and no lock file is present in the repository.;Lock files are committed and installs are reproducible.;Remove yarn.lock from .gitignore and commit it for both packages.;.gitignore:2;TC-INF-012
DEF-29;Major;API · security;Markup is stored in the database unescaped and unrejected;"A value containing a script tag is written verbatim. There is no direct exploit today because no endpoint reads the data back, but the first admin screen or the first email carrying a user's name turns this into stored cross-site scripting. The defect is latent, and fixing it now is cheaper.";"1. Send POST /users/create where first_name contains a script tag calling alert.
2. Read the stored value from the database.";"The response is 201 and the value is stored verbatim, angle brackets included.";The value is rejected by a character-set check or escaped on write.;Restrict the permitted character set in the DTO and escape values wherever they are rendered.;backend/src/user/user.service.ts:18;TC-SEC-007
DEF-30;Major;Infrastructure and build;Debug output is enabled by default in the run configuration;The DEBUG variable defaults to true inside docker-compose itself. That means every environment started from the README prints request bodies along with passwords. This defect turns DEF-04 from a possible problem into an actual one.;"1. Open docker-compose.yml and find the DEBUG variable line.
2. Start the stack with the README command, setting no environment variables.
3. Send a registration and read the container log.";DEBUG: ${DEBUG:-true} — the default is true and request bodies are printed.;The default is false and debug output is switched on deliberately.;Change the default to false and move the variables into a .env file.;"docker-compose.yml:14
backend/src/config/app.config.ts:6";TC-INF-010
DEF-31;Major;API · security;Cross-origin access is granted to any site;"Calling enableCors with no options returns a wildcard header, so any page on the internet can submit a registration on behalf of whoever opened it. With no captcha and no rate limit this is a ready-made channel for inflating sign-ups.";"1. Send OPTIONS to /users/create with the header Origin: https://evil.example.
2. Send a POST to the same path with the same Origin header.
3. Inspect the Access-Control-Allow-Origin header in both responses.";"The preflight answers 204 and the main request 201, both carrying Access-Control-Allow-Origin: *.";Only the application's own frontend origin is allowed.;Pass an explicit list of allowed origins from configuration into enableCors.;backend/src/main.ts:6;TC-SEC-005
DEF-32;Major;Frontend · form logic;The HTTP client has no timeout configured;"The axios instance is created without a timeout, so a request to a host that accepts the connection but never answers hangs until the operating system gives up. On its own that is a stuck request; combined with DEF-01 the user is already on the success screen and never learns anything went wrong.";"1. Open the axios configuration in frontend/src/api/interceptors.ts.
2. Confirm that no timeout option is set.
3. Submit the form against a host that accepts the connection but does not respond.";No timeout option is present and the request stays pending indefinitely.;The request aborts after a sensible interval and the user sees a timeout message.;Set timeout on the axios instance configuration and handle the ECONNABORTED error code.;frontend/src/api/interceptors.ts:5;TC-FF-009
DEF-33;Major;Infrastructure and build;The database port is published on every network interface;"Port 5432 is bound to 0.0.0.0, so the database is reachable from the local network. Together with the password from DEF-70 and clear-text password storage from DEF-03, this means a stranger on any untrusted network reads every user's password. The application does not need external access: the services talk over the internal Docker network.";"1. Start the stack.
2. Run docker compose ps and inspect the ports column.
3. Try connecting to port 5432 from another machine on the same network.";0.0.0.0:5432->5432/tcp — the database accepts connections from any address.;"The database port is not published at all, or is bound to 127.0.0.1.";"Drop the port mapping from the db service; for debugging use a 127.0.0.1:5432:5432 binding.";docker-compose.yml:40-42;TC-SEC-011 TC-INF-007
DEF-34;Minor;Frontend · field validation;The password error text describes a rule that does not exist;"The message demands an uppercase letter, a lowercase letter and a digit, while the expression only checks for any letter and a digit. The special-character requirement enforced by the server is not mentioned at all. The user picks a password from an incorrect hint and is rejected by the server anyway.";"1. Type password1 into the password field — it has no uppercase letter.
2. Type 27 uppercase letters followed by a digit — it has no lowercase letter.
3. Read the error text shown for an invalid password.";"Both values are accepted by the form, even though the message reads “Minimum eight characters, at least one uppercase letter, one lowercase letter and one number”.";"The message describes the rule that is actually applied, special character included.";Generate the text from the shared rule introduced when fixing DEF-05.;"frontend/src/components/screens/auth/AuthFields.tsx:116-119
frontend/src/shared/regex.ts:4";TC-FV-053 TC-FV-055 TC-FV-056 TC-FV-057 TC-FV-059 TC-FV-072
DEF-35;Minor;Frontend · field validation;The maximum-length messages are off by one;"The wording “less than N” is used where exactly N is allowed. The mistake repeats across four fields: first name, last name, phone and both password fields. It is small, but it consistently misleads anyone probing boundary values and reads as carelessness.";"1. Type exactly 28 characters into the first-name field.
2. Type 29 characters and read the error text.
3. Repeat for the phone field with 16 and then 17 digits.";"28 characters is accepted; at 29 the message reads “First Name must be less than 28 characters”. 16 digits is accepted; at 17 it reads “Phone Number must be less than 16 characters”.";The text matches the boundary: “no more than 28 characters”.;Correct the wording in all four fields.;"frontend/src/components/screens/auth/AuthFields.tsx:36-39
frontend/src/components/screens/auth/AuthFields.tsx:75-78";TC-FV-004 TC-FV-021 TC-FV-032
DEF-36;Minor;Frontend · field validation;The last-name error message talks about the first name;The first-name message was copied into the rule for the Votre nom field. A user seeing the error looks for the problem in the wrong field.;"1. Open the form.
2. Type a value with a disallowed character, such as François, into the Votre nom field.
3. Read the error text below the field.";“Please enter a valid first name” is shown beneath the last-name field.;The message refers to the last name.;Correct the text to say last name.;frontend/src/components/screens/auth/AuthFields.tsx:59-62;TC-FV-020
DEF-37;Minor;Frontend · field validation;A four-character minimum on the name rejects real names;"Luc, Ali, Bo and Ève are ordinary two- and three-letter names, several of them common in France. A four-character minimum follows neither from the domain nor from any database constraint, and simply turns some users away.";"1. Open the form.
2. Type Luc into the Votre prenom field.";“First Name must be at least 4 characters” is shown and the value is rejected.;A two- or three-character name is accepted.;Lower the minimum to one character and keep the character-set check.;frontend/src/components/screens/auth/AuthFields.tsx:32-35;TC-FV-002
DEF-38;Minor;Frontend · layout;Typo in the confirm-password field caption;It reads “Confirmez vorte mot de passe” instead of “votre”. The typo is visible on the first screen and undermines the perceived quality of the product before the user reaches any functionality.;"1. Open the form.
2. Read the caption of the sixth field.";The caption reads “Confirmez vorte mot de passe”.;The caption reads “Confirmez votre mot de passe”.;Fix the string and move all interface texts into a localisation dictionary.;frontend/src/components/screens/auth/AuthFields.tsx:144;TC-UI-008
DEF-39;Minor;Frontend · field validation;The phone format error says the field is required;The format rule carries the text “Ce champ est requis” — “this field is required”. The user sees it with the field filled in and cannot tell what to change. It is a direct consequence of copying the text from the required rule.;"1. Open the form.
2. Type +33612345678 into the Numéro de téléphone field.
3. Read the error text.";“Ce champ est requis” is shown while the field holds a value.;The message describes the expected number format.;"Replace the text with a description of the format, for example “Entrez un numéro à 8–16 chiffres”.";frontend/src/components/screens/auth/AuthFields.tsx:79-82;TC-FV-039
DEF-40;Minor;Frontend · field validation;Field values are not trimmed before submission;"Leading and trailing spaces are stored as typed. An email copied with a trailing space — the most common paste scenario — is rejected on format instead of being trimmed, and the user cannot see why.";"1. Type a name with spaces at both ends into the first-name field.
2. Paste an email address with a trailing space into the email field.
3. Submit the form and read the stored name value.";The name is stored with its spaces. The address with a trailing space is rejected as badly formatted.;Values are trimmed before validation and before submission.;Apply setValueAs or a shared trim handler to every text field.;frontend/src/components/screens/auth/Auth.tsx:23-36;TC-FV-012 TC-FV-045
DEF-41;Minor;API · contract and validation;The emptiness check lets a whitespace-only string through;"The check tests the value for truthiness, and a string of spaces is truthy. A four-space name therefore passes both the client character-set check and the server emptiness check, and lands in the database.";"1. Send POST /users/create with ""first_name"": ""    "".
2. Read the stored row.";The response is 201 and the database holds a row of spaces.;400: the field is empty once trimmed.;Trim the value before checking and compare the resulting length against zero.;backend/src/user/user.service.ts:34-41;TC-FV-011 TC-API-020
DEF-42;Minor;Frontend · layout;A stray asterisk is rendered above the consent checkbox;"The field component always renders a caption block with a required asterisk. The checkbox is given no caption, so an empty line with a lone red character remains, attached to nothing.";"1. Open the form.
2. Look at the area between the confirm-password field and the consent text.";A single red asterisk with no caption is displayed between the fields.;No stray character appears there.;Skip the caption block when no placeholder prop is passed.;"frontend/src/components/ui/field/Field.tsx:17-21
frontend/src/components/screens/auth/AuthFields.tsx:151";TC-FV-083
DEF-43;Minor;Frontend · field validation;The consent checkbox has no error text;The required rule is written as an object with the value true but no message field. The error block renders empty: the user sees that the button does nothing but cannot tell what is missing.;"1. Fill every form field with valid values.
2. Leave the consent checkbox unticked.
3. Inspect the area under the checkbox and the state of the button.";"The error object exists but its message property is undefined, leaving an empty element under the checkbox.";A text explaining that consent is required is shown.;Set message on the required rule.;frontend/src/components/screens/auth/AuthFields.tsx:153-155;TC-FV-082
DEF-44;Minor;Frontend · layout;The disabled submit button looks exactly like an enabled one;"The button is disabled while the form is invalid, yet keeps the same bright yellow background, full opacity and a working hover effect. The user clicks, nothing happens, and no explanation appears anywhere. Combined with DEF-43 and DEF-45 this produces a form that silently refuses to work.";"1. Open the form without filling anything in.
2. Hover over the S'inscrire button and click it.
3. Compare the computed styles with how the button looks once the form is valid.";"disabled is true, yet the background rgb(255, 208, 1) and opacity 1 match the enabled state and the hover effect still fires.";"The disabled state is visible: muted background, changed cursor, no hover effect.";"Add disabled styles, or keep the button enabled and surface the errors on click.";"frontend/src/components/ui/button/Button.tsx:10-16
frontend/src/components/screens/auth/AuthForm.tsx:35-38";TC-UI-004
DEF-45;Minor;Frontend · form logic;A password mismatch is not shown when the main field is edited after confirmation;"The match rule is evaluated only when the confirmation field changes. If the passwords already matched and the main password is then edited, no error appears, yet the form becomes invalid and the button goes dead. The result is a dead end: no visible errors, and no way to submit.";"1. Type identical passwords into both fields and confirm the button is enabled.
2. Edit the main password field only.
3. Inspect the confirmation field and the state of the button.";"No error text appears under the confirmation field, while the submit button becomes disabled.";“The passwords do not match” appears under the confirmation field.;"Declare deps on the password field, or call trigger for the confirmation when it changes.";frontend/src/components/screens/auth/AuthFields.tsx:139-141;TC-FV-071
DEF-46;Minor;Routing;An unknown route renders a completely blank page;"The router declares only the root and /success, with no catch-all route. A typo in the address or a stale link produces a white screen with nothing on it and no way back other than editing the URL by hand.";"1. Open the application.
2. Navigate to /nonexistent-page-404.
3. Inspect the page content and the root element.";The page is blank and the root element contains no child nodes.;"A 404 page with a link back to the form, or a redirect.";Add a route with the path * rendering a 404 page.;frontend/src/App.tsx:7-10;TC-RT-001
DEF-47;Minor;Routing;The thank-you screen opens directly without a registration;"The /success route is not guarded by navigation state, so anyone can reach the screen by direct link. This is not a vulnerability, but it is misleading and makes conversion counting by screen views meaningless.";"1. Open the application in a new tab.
2. Navigate to /success without filling in the form.";The “Thank you for subscription!” screen is shown with no prior registration.;The user is redirected to the form.;Pass a success flag through navigation state and redirect when it is absent.;frontend/src/App.tsx:9;TC-RT-002
DEF-48;Minor;Accessibility and localisation;The password visibility toggle cannot be reached from the keyboard;"The icon is a plain block with a click handler: no tabindex, no role, no accessible name. A keyboard-only user can neither focus it, nor activate it, nor learn that it exists. The page offers just eight focusable elements: seven fields and the button.";"1. Open the form.
2. Tab through the entire form.
3. Try to reveal the typed password without a mouse.";"The element is a div with no tabindex, role or aria-label, and Tab skips over it.";The toggle receives focus and responds to Enter and Space.;Replace the block with a button of type button carrying aria-pressed and a text label.;frontend/src/components/ui/field/Field.tsx:40-41;TC-AX-002
