ID;Критичность;Область;Заголовок;Описание и влияние;Шаги воспроизведения;Фактический результат;Ожидаемый результат;Как починить;Локализация по коду;Покрывающие кейсы
DEF-11;Существенный;Фронтенд · валидация полей;Имя с диакритикой отклоняется на французской форме;"Регулярное выражение допускает только буквы латинского алфавита без надстрочных знаков, пробел, запятую, точку, апостроф и дефис. Интерфейс формы полностью французский, но François, Amélie и Noëlle зарегистрироваться не могут. Для целевой аудитории это прямой отказ в обслуживании. Сервер те же значения принимает, то есть слои расходятся.";"1. Открыть форму.
2. Ввести François в поле Votre prenom.
3. Ввести Amélie.
4. Отправить François напрямую в POST /users/create.";Форма отвечает «Please enter a valid first name» на оба имени. API на то же имя отвечает 201 и сохраняет его.;Имена с диакритикой принимаются обоими слоями.;"Перейти на свойства Unicode: /^[\p{L}\p{M} ,.'-]+$/u, и продублировать то же правило в DTO сервера.";frontend/src/shared/regex.ts:8;TC-FV-007 TC-FV-008 TC-FV-046 TC-E2E-007
DEF-12;Существенный;Фронтенд · валидация полей;Поле телефона принимает только непрерывные цифры;"И международный формат +33 6 12 34 56 78, и национальный 06 12 34 56 78 содержат плюс и пробелы, поэтому отклоняются. Это два способа записи, которыми во Франции пользуются по умолчанию. Пользователь вынужден догадываться, что нужно стереть разделители.";"1. Открыть форму.
2. Ввести +33612345678 в поле Numéro de téléphone.
3. Ввести 06 12 34 56 78.";"Оба значения отклонены. Текст ошибки при этом говорит «Ce champ est requis», хотя поле заполнено — см. DEF-39.";Значение нормализуется перед проверкой: разделители и код страны принимаются.;"Убирать из значения всё, кроме цифр и ведущего плюса, перед проверкой, либо использовать libphonenumber.";frontend/src/shared/regex.ts:6;TC-FV-034 TC-FV-035
DEF-13;Существенный;Фронтенд · валидация полей;Максимальная длина имени зависит от строки user agent;"В правиле записано условие по подстроке Chrome в user agent: в Chrome лимит 28 символов, в остальных браузерах 40. Текст ошибки в обоих случаях говорит про 28. Одни и те же данные ведут себя по-разному у разных пользователей, а воспроизвести жалобу без знания браузера невозможно.";"1. Открыть форму в Chrome и ввести имя из 30 латинских букв.
2. Открыть ту же форму в браузере, у которого в user agent нет подстроки Chrome, например Firefox.
3. Ввести те же 30 символов.";Chrome отклоняет значение с сообщением «First Name must be less than 28 characters». Firefox то же значение принимает.;Лимит одинаков во всех браузерах и совпадает с текстом сообщения.;"Убрать ветвление по user agent, вынести лимит в константу и продублировать проверку на сервере.";frontend/src/components/screens/auth/AuthFields.tsx:37;TC-FV-006 TC-FV-022
DEF-14;Существенный;Фронтенд · вёрстка;Поле фамилии с жёсткой минимальной шириной ломает вёрстку на мобильном;На поле проставлен инлайновый стиль min-width 400px. На экране шириной 375 пикселей поле шире вьюпорта и выходит за левую границу карточки поверх фона. Форма выглядит сломанной на самом массовом классе устройств.;"1. Открыть форму.
2. Установить ширину окна 375 пикселей или включить эмуляцию мобильного устройства.
3. Осмотреть поле Votre nom.";"Ширина поля 400 пикселей при ширине соседних полей 275. Левый край поля находится за пределами экрана, правый — на отметке 325 пикселей.";Все поля формы имеют одинаковую ширину и помещаются в карточку.;Удалить инлайновый стиль minWidth.;frontend/src/components/screens/auth/AuthFields.tsx:66;TC-UI-001
DEF-15;Существенный;API · контракт и валидация;Сервер не ограничивает длину имени и фамилии;"Серверная валидация покрывает согласие, телефон, пароль и почту. Для имени и фамилии нет ни проверки длины, ни проверки набора символов. В сочетании с DEF-27 в базу попадает строка произвольного размера, ограниченная только лимитом тела запроса.";"1. Отправить POST /users/create, где first_name состоит из 10 000 символов A.
2. Прочитать сохранённую строку в таблице.";"Ответ 201, значение записано целиком, все 10 000 символов.";400 с указанием допустимой длины.;Задать @Length в DTO и ограничить длину колонки в схеме.;backend/src/user/user.service.ts:26-70;TC-FV-013 TC-API-019
DEF-16;Существенный;API · контракт и валидация;Сервер не ограничивает длину телефона;"Серверное правило проверяет только то, что строка состоит из цифр. Ни минимальной, ни максимальной длины нет, поэтому номер из одной цифры сохраняется. Клиентские границы 8 и 16 существуют только в форме и обходятся прямым запросом к API или дефектом DEF-07.";"1. Отправить POST /users/create со значением phone_number равным 7.
2. Прочитать сохранённую строку.";"Ответ 201, в базе телефон 7 длиной один символ.";400: номер короче минимально допустимой длины.;Перенести границы длины в DTO сервера и держать их согласованными с формой.;backend/src/config/regex.config.ts:3;TC-FV-036 TC-API-022
DEF-17;Существенный;API · контракт и валидация;На сервере нет верхней границы длины пароля;"Серверное выражение заканчивается квантификатором без верхнего предела, поэтому длина пароля ограничена только размером тела запроса. Клиент при этом ограничивает пароль 28 символами. Помимо расхождения слоёв это создаёт нагрузку на будущий алгоритм хеширования.";"1. Отправить POST /users/create с паролем длиной 1000 символов, удовлетворяющим серверному правилу.
2. Посмотреть код ответа.";"Ответ 201, пароль сохранён целиком.";400: пароль длиннее допустимых 28 символов.;Добавить верхнюю границу в серверное правило и держать её равной клиентской.;backend/src/config/regex.config.ts:2;TC-FV-051 TC-API-021
DEF-18;Существенный;API · контракт и валидация;Посторонние поля в теле запроса принимаются и возвращаются в ответе;"Глобального ValidationPipe нет, DTO объявлены как обычные классы без декораторов, поэтому тело не фильтруется. Любое лишнее поле проходит через сервис и попадает в ответ. Это же отсутствие фильтрации делает возможным DEF-02.";"1. Отправить POST /users/create, добавив в тело поле ""role"": ""admin"".
2. Прочитать тело ответа.";"Ответ 201, в теле ответа присутствует {""role"":""admin"", ...}.";Поле отброшено либо запрос отклонён с кодом 400.;"app.useGlobalPipes(new ValidationPipe({whitelist: true, forbidNonWhitelisted: true})) и декораторы class-validator на каждом поле DTO.";"backend/src/main.ts:6
backend/src/user/dto/user.dto.ts";TC-API-012
DEF-19;Существенный;API · контракт и валидация;Согласие с условиями принимается любым истинным значением;"Проверка сравнивает поле на истинность, а не на равенство true. Строка «false» в JavaScript истинна, поэтому она засчитывается как согласие. Поле юридически значимое: это подтверждение принятия условий использования, и его фактически никто не проверяет.";"1. Отправить POST /users/create со значением ""is_agree"": ""false"".
2. Повторить запрос со значением ""is_agree"": 1.
3. Повторить со значением ""is_agree"": ""нет"".";Все три запроса отвечают 201 и создают пользователя.;"400 на любое значение, кроме булева true.";Декоратор @IsBoolean в DTO и строгое сравнение на равенство true.;backend/src/user/user.service.ts:27;TC-API-007 TC-API-008
DEF-20;Существенный;API · контракт и валидация;Типы значений в теле запроса не проверяются;"Поля DTO объявлены как строки, но без декораторов проверки, поэтому в них попадает что угодно. Число и массив доходят до слоя данных и приводятся к строке уже при записи, из-за чего в базе оказываются значения вида {""a"",""b""}.";"1. Отправить POST /users/create со значением ""first_name"": 12345.
2. Повторить со значением ""first_name"": [""a"",""b""].
3. Прочитать сохранённые строки.";"Оба запроса отвечают 201. В базе сохранены строки 12345 и {""a"",""b""}.";400: поле должно быть строкой.;@IsString и @IsNotEmpty на строковых полях DTO.;backend/src/user/dto/user.dto.ts;TC-API-009 TC-API-010 TC-API-011
DEF-21;Существенный;Инфраструктура и сборка;"Том базы смонтирован в каталог, которым Postgres не пользуется";"Том dbdata смонтирован в /var/lib/mysql, а Postgres хранит данные в /var/lib/postgresql/data. Реальные данные лежат в записываемом слое контейнера и уничтожаются командой docker compose down. Все зарегистрированные пользователи исчезают без предупреждения, а сам том всегда остаётся пустым.";"1. Зарегистрировать пользователя и убедиться, что строка появилась в таблице.
2. Выполнить docker compose down.
3. Выполнить docker compose up -d.
4. Прочитать таблицу users.";"Таблица пуста. В контейнере /var/lib/postgresql/data занимает 40 МБ, а смонтированный /var/lib/mysql не содержит ни одного файла.";После перезапуска стека зарегистрированные пользователи остаются на месте.;Монтировать том в /var/lib/postgresql/data.;docker-compose.yml:39;TC-DB-006 TC-E2E-006
DEF-22;Существенный;API · безопасность;Регистрация не ограничена по частоте запросов;"Эндпоинт открыт, ограничителя частоты нет, подтверждения адреса и капчи тоже. Таблицу можно наполнить произвольным объёмом записей за секунды, а когда появится отправка писем, сервис станет инструментом рассылки по чужим адресам.";"1. Отправить шестьдесят запросов POST /users/create подряд с разными адресами.
2. Посмотреть коды ответов и затраченное время.";"Шестьдесят ответов 201 за 0,94 секунды, ни одного отказа.";После нескольких запросов подряд сервис отвечает 429 Too Many Requests.;Подключить @nestjs/throttler на эндпоинт и добавить капчу на форму.;backend/src/user/user.controller.ts:10;TC-SEC-004 TC-NFR-001
DEF-23;Существенный;API · контракт и валидация;Контроллер корневого маршрута не подключён к модулю приложения;"AppController и AppService существуют и возвращают строку «Service is working!», но в списке контроллеров модуля их нет. Маршрут GET / не зарегистрирован, поэтому проверка живости сервиса невозможна, а штатный e2e-тест проекта проверяет именно его.";"1. Поднять бэкенд.
2. Выполнить GET на корневой адрес сервиса.";Ответ 404 Not Found.;"200 с телом «Service is working!», как заявлено в коде и в тесте test/app.e2e-spec.ts.";Добавить AppController в controllers и AppService в providers модуля.;"backend/src/app.module.ts:8
backend/src/app.controller.ts:8";TC-API-017
DEF-24;Существенный;Инфраструктура и сборка;Штатный e2e-тест не запускается из-за неразрешимого импорта;"Сервис импортирует модуль по пути src/config/regex.config, который разрешается за счёт baseUrl при сборке Nest, но не настроен в конфигурации Jest для e2e. Набор падает на этапе разрешения модулей, ни один тест не выполняется, и команда завершается ошибкой.";"1. Установить зависимости бэкенда.
2. Выполнить yarn test:e2e.";"Cannot find module 'src/config/regex.config' from 'user/user.service.ts'. Test Suites: 1 failed, Tests: 0 total.";Тест выполняется и сообщает о результате проверки.;"Добавить moduleNameMapper или modulePaths в test/jest-e2e.json, либо заменить импорт на относительный путь.";"backend/test/jest-e2e.json
backend/src/user/user.service.ts:3";TC-INF-003
DEF-25;Существенный;Инфраструктура и сборка;"Команда запуска юнит-тестов завершается ошибкой, потому что тестов нет";"Ни одного файла со спецификациями в проекте нет, при этом Jest настроен считать отсутствие совпадений ошибкой. В конвейере сборки шаг тестирования будет красным всегда, и отличить «тестов нет» от «тесты упали» по коду возврата невозможно.";"1. Установить зависимости бэкенда.
2. Выполнить yarn test.";"testRegex: .*\.spec\.ts$ — 0 matches, команда завершается с кодом 1.";"Тесты есть и проходят, либо шаг явно помечен как пропущенный.";"Добавить юнит-тесты хотя бы на UserService.validateData, где сосредоточена вся бизнес-логика.";backend/package.json:17;TC-INF-002
DEF-26;Существенный;Доступность и локализация;Ни одно поле формы не имеет доступного имени;"Подписи полей нарисованы отдельными блоками рядом с полями и ничем с ними не связаны. На странице нет ни одного элемента label, ни одного идентификатора и ни одного атрибута aria-label. Свойство placeholder компонент забирает себе для отрисовки подписи, поэтому у самих полей его тоже нет. Пользователь программы экранного доступа слышит семь безымянных полей ввода подряд.";"1. Открыть форму.
2. Выполнить document.querySelectorAll('label').length в консоли.
3. Проверить у полей наличие id, aria-label и placeholder.
4. Пройти форму со включённой программой экранного доступа.";"Элементов label на странице 0, полей с id 0, с aria-label 0, с атрибутом placeholder 0. Программа объявляет поля без названий.";"У каждого поля есть доступное имя, совпадающее с видимой подписью.";"Обернуть подпись в label с атрибутом for и выдать полям идентификаторы, либо передавать aria-label.";frontend/src/components/ui/field/Field.tsx:17-21;TC-AX-001
DEF-27;Существенный;Данные и БД;Текстовые колонки объявлены без ограничения длины;"Все пять текстовых колонок имеют тип character varying без указания длины, то есть принимают строку любого размера. Вместе с DEF-15 это означает, что размер записи ограничен только лимитом тела HTTP-запроса, и одна регистрация может занять в базе десятки килобайт.";"1. Поднять базу.
2. Выполнить \d users в psql.
3. Посмотреть столбец character_maximum_length в information_schema.columns.";"Пять колонок типа character varying, у всех character_maximum_length равно NULL.";У каждой текстовой колонки задана разумная максимальная длина.;Указать length в декораторах @Column и применить изменение миграцией.;backend/src/user/entity/user.entity.ts:8-20;TC-DB-002
DEF-28;Существенный;Инфраструктура и сборка;Lock-файлы исключены из репозитория;"Файл yarn.lock перечислен в .gitignore, поэтому дерево зависимостей пересчитывается при каждой установке. Сборка перестаёт быть воспроизводимой: у двух разработчиков и в конвейере окажутся разные версии, а со временем проект ломается сам собой. Именно это и произошло, см. DEF-06.";"1. Открыть файл .gitignore в корне репозитория.
2. Найти строку yarn.lock.
3. Выполнить установку зависимостей дважды с интервалом и сравнить версии.";"yarn.lock перечислен в .gitignore, в репозитории lock-файлов нет.";"Lock-файлы закоммичены, установка воспроизводима.";Убрать yarn.lock из .gitignore и закоммитить его для обоих пакетов.;.gitignore:2;TC-INF-012
DEF-29;Существенный;API · безопасность;Разметка сохраняется в базу без экранирования и без отклонения;"Значение с тегом script записывается дословно. Прямой эксплуатации сейчас нет, потому что эндпоинта чтения данных не существует, но первый же экран администратора или письмо с именем пользователя превратят это в хранимый межсайтовый скриптинг. Дефект отложенный, и чинить его дешевле сейчас.";"1. Отправить POST /users/create, где first_name содержит тег script с вызовом alert.
2. Прочитать сохранённое значение из базы.";"Ответ 201, значение сохранено дословно вместе с угловыми скобками.";Значение отклонено проверкой набора символов либо экранировано при сохранении.;Ограничить набор допустимых символов в DTO и экранировать значения при любом выводе.;backend/src/user/user.service.ts:18;TC-SEC-007
DEF-30;Существенный;Инфраструктура и сборка;Отладочный вывод включён по умолчанию в конфигурации запуска;"Переменная DEBUG имеет значение по умолчанию true прямо в docker-compose. Это означает, что любое окружение, поднятое по инструкции из README, печатает тела запросов вместе с паролями. Дефект превращает DEF-04 из потенциальной проблемы в фактическую.";"1. Открыть docker-compose.yml и найти строку с переменной DEBUG.
2. Поднять стек командой из README, не задавая переменных окружения.
3. Отправить регистрацию и посмотреть журнал контейнера.";"DEBUG: ${DEBUG:-true} — значение по умолчанию true, тела запросов печатаются.";"Значение по умолчанию false, отладочный вывод включается явно.";Поменять значение по умолчанию на false и вынести переменные в .env.;"docker-compose.yml:14
backend/src/config/app.config.ts:6";TC-INF-010
DEF-31;Существенный;API · безопасность;Общий доступ между источниками разрешён любому сайту;"Вызов enableCors без параметров отдаёт заголовок со звёздочкой, то есть регистрацию может отправить любая страница в интернете от имени открывшего её посетителя. При отсутствии капчи и ограничения частоты это готовый канал для накрутки регистраций.";"1. Отправить OPTIONS на /users/create с заголовком Origin: https://evil.example.
2. Отправить туда же POST с тем же заголовком Origin.
3. Посмотреть заголовок Access-Control-Allow-Origin в ответах.";"Предварительный запрос отвечает 204, основной — 201, в обоих ответах Access-Control-Allow-Origin: *.";Разрешён только адрес собственного фронтенда.;Передать в enableCors список разрешённых источников из конфигурации.;backend/src/main.ts:6;TC-SEC-005
DEF-32;Существенный;Фронтенд · логика формы;У HTTP-клиента не задан таймаут;"Экземпляр axios создан без параметра timeout, то есть запрос к недоступному, но принимающему соединение серверу висит до таймаута операционной системы. Само по себе это приводит к зависшему запросу, а вместе с DEF-01 пользователь уже находится на экране успеха и о происходящем не узнаёт.";"1. Открыть конфигурацию axios в frontend/src/api/interceptors.ts.
2. Убедиться, что параметр timeout не задан.
3. Отправить форму на адрес, который принимает соединение, но не отвечает.";"Параметр timeout отсутствует, запрос остаётся в состоянии pending неограниченно долго.";"Запрос прерывается через разумный интервал, пользователь видит сообщение о таймауте.";Задать timeout в конфигурации экземпляра axios и обработать код ошибки ECONNABORTED.;frontend/src/api/interceptors.ts:5;TC-FF-009
DEF-33;Существенный;Инфраструктура и сборка;Порт базы данных опубликован на всех сетевых интерфейсах;"Порт 5432 проброшен на 0.0.0.0, то есть база доступна из локальной сети. Вместе с паролем из DEF-70 и хранением паролей открытым текстом из DEF-03 это означает, что в любой недоверенной сети чужой человек читает пароли всех пользователей. Приложению доступ снаружи не нужен: сервисы общаются по внутренней сети Docker.";"1. Поднять стек.
2. Выполнить docker compose ps и посмотреть колонку с портами.
3. Попробовать подключиться к порту 5432 с другой машины в той же сети.";0.0.0.0:5432->5432/tcp — база принимает подключения с любого адреса.;Порт базы не публикуется наружу вовсе либо привязан к 127.0.0.1.;"Убрать проброс порта у сервиса db; для отладки использовать привязку 127.0.0.1:5432:5432.";docker-compose.yml:40-42;TC-SEC-011 TC-INF-007
DEF-34;Незначительный;Фронтенд · валидация полей;"Текст ошибки пароля описывает правило, которого нет";"Сообщение требует заглавную букву, строчную и цифру, а выражение проверяет только наличие любой буквы и цифры. О требовании спецсимвола, которое есть на сервере, не сказано вовсе. Пользователь подбирает пароль по неверной подсказке и получает отказ уже от сервера.";"1. Ввести в поле пароля значение password1 — заглавных букв нет.
2. Ввести значение из 27 заглавных букв и цифры — строчных нет.
3. Прочитать текст ошибки, который показывается при невалидном пароле.";"Оба значения приняты формой, хотя сообщение гласит «Minimum eight characters, at least one uppercase letter, one lowercase letter and one number».";"Текст сообщения в точности описывает применяемое правило, включая требование спецсимвола.";"Сформировать текст из общего правила, введённого при исправлении DEF-05.";"frontend/src/components/screens/auth/AuthFields.tsx:116-119
frontend/src/shared/regex.ts:4";TC-FV-053 TC-FV-055 TC-FV-056 TC-FV-057 TC-FV-059 TC-FV-072
DEF-35;Незначительный;Фронтенд · валидация полей;Сообщения о максимальной длине смещены на единицу;"Формулировка «меньше чем N» используется там, где значение ровно N разрешено. Ошибка повторяется в четырёх полях: имя, фамилия, телефон и оба поля пароля. Мелочь, но она систематически сбивает при подборе граничных значений и выглядит как невнимательность.";"1. Ввести в поле имени ровно 28 символов.
2. Ввести 29 символов и прочитать текст ошибки.
3. Повторить для телефона: 16 и 17 цифр.";"28 символов принято, при 29 показано «First Name must be less than 28 characters». 16 цифр принято, при 17 показано «Phone Number must be less than 16 characters».";Текст соответствует границе: «не более 28 символов».;Заменить формулировку во всех четырёх полях.;"frontend/src/components/screens/auth/AuthFields.tsx:36-39
frontend/src/components/screens/auth/AuthFields.tsx:75-78";TC-FV-004 TC-FV-021 TC-FV-032
DEF-36;Незначительный;Фронтенд · валидация полей;Ошибка поля фамилии сообщает об имени;"В правило поля Votre nom скопировано сообщение из поля имени. Пользователь, увидев ошибку, ищет проблему не в том поле формы.";"1. Открыть форму.
2. Ввести в поле Votre nom значение с недопустимым символом, например François.
3. Прочитать текст ошибки под полем.";Показано «Please enter a valid first name» под полем фамилии.;Сообщение относится к фамилии.;Исправить текст на last name.;frontend/src/components/screens/auth/AuthFields.tsx:59-62;TC-FV-020
DEF-37;Незначительный;Фронтенд · валидация полей;Минимальная длина имени в четыре символа отсекает реальные имена;"Luc, Ali, Bo, Ève — обычные имена длиной два-три символа, в том числе распространённые во Франции. Требование четырёх символов не следует ни из предметной области, ни из ограничений базы, и просто отказывает части пользователей.";"1. Открыть форму.
2. Ввести Luc в поле Votre prenom.";"Показано «First Name must be at least 4 characters», значение отклонено.";Имя из двух-трёх символов принимается.;Снизить минимальную длину до одного символа и оставить проверку набора символов.;frontend/src/components/screens/auth/AuthFields.tsx:32-35;TC-FV-002
DEF-38;Незначительный;Фронтенд · вёрстка;Опечатка в подписи поля подтверждения пароля;"Написано «Confirmez vorte mot de passe» вместо «votre». Опечатка видна на первом экране и бьёт по восприятию качества продукта раньше, чем пользователь дойдёт до функциональности.";"1. Открыть форму.
2. Прочитать подпись шестого поля.";Подпись гласит «Confirmez vorte mot de passe».;Подпись гласит «Confirmez votre mot de passe».;Исправить строку и вынести все тексты интерфейса в словарь локализации.;frontend/src/components/screens/auth/AuthFields.tsx:144;TC-UI-008
